train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
-1.4075605869293213,1.3409195999999999,500.0,-13.641746520996094,399,0.0003,0.08093012869358063,500,0.8874043822288513,,,,,
-3.167128562927246,1.7452876,500.0,-19.771530151367188,899,0.0003,0.6410765647888184,1000,0.763813853263855,,,,,
-4.947263717651367,0.6338296,500.0,-26.134052276611328,1399,0.0003,0.12221278250217438,1500,0.6575045585632324,,,,,
-6.668583393096924,1.3888943999999999,500.0,-31.609281539916992,1899,0.0003,1.296128511428833,2000,0.5661594271659851,,,,,
,,,,,,,2000,,11,173,500.0,6.110010750000001,4
-8.30447769165039,5.8756867999999995,500.0,-35.81182861328125,2399,0.0003,1.3054347038269043,2500,0.48780912160873413,,,,,
-9.929367065429688,10.9530138,500.0,-38.839542388916016,2899,0.0003,0.38585352897644043,3000,0.42064130306243896,,,,,
-11.520012855529785,1.1872218,500.0,-41.500003814697266,3399,0.0003,1.3541131019592285,3500,0.36280137300491333,,,,,
-12.87626838684082,1.8633316,500.0,-42.990966796875,3899,0.0003,0.447592556476593,4000,0.31309306621551514,,,,,
,,,,,,,4000,,11,346,500.0,7.108606249999999,8
-14.087095260620117,6.2458062000000005,500.0,-43.90039825439453,4399,0.0003,0.5316247940063477,4500,0.270713746547699,,,,,
-15.48317813873291,16.0714236,500.0,-46.29108428955078,4899,0.0003,3.5413761138916016,5000,0.23443281650543213,,,,,
-16.765228271484375,4.220517,500.0,-47.13926315307617,5399,0.0003,0.33696988224983215,5500,0.2028484046459198,,,,,
-17.706682205200195,13.641408800000002,500.0,-48.389366149902344,5899,0.0003,0.41691887378692627,6000,0.1757664680480957,,,,,
,,,,,,,6000,,11,520,500.0,7.180220749999999,12
-17.870071411132812,4.795434800000001,500.0,-47.61383056640625,6399,0.0003,0.7260888814926147,6500,0.15254463255405426,,,,,
-18.456035614013672,3.3119811999999995,500.0,-48.45182800292969,6899,0.0003,9.595956802368164,7000,0.1327800750732422,,,,,
-18.61000633239746,2.1790666,500.0,-48.80207443237305,7399,0.0003,0.4234252870082855,7500,0.11582730710506439,,,,,
