train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss,time/total_timesteps,train/learning_rate,eval/mean_reward,train/ent_coef_loss,eval/mean_ep_length,rollout/ep_len_mean,time/time_elapsed,time/fps,time/episodes,rollout/ep_rew_mean
399,0.08928892016410828,0.8874131441116333,-13.68771743774414,500,0.0003,1.4882802000000002,-1.4064828157424927,500.0,,,,,
803,0.8677069544792175,0.786203920841217,-19.088539123535156,904,0.0003,,-2.827953577041626,,124.25,49,18,4,0.7093672500000001
899,0.167343407869339,0.7639449238777161,-20.370601654052734,1000,0.0003,0.23167580000000002,-3.159106969833374,500.0,,,,,
1399,0.40850210189819336,0.6581050753593445,-26.659122467041016,1500,0.0003,0.24057459999999997,-4.8646416664123535,500.0,,,,,
1899,0.3765257000923157,0.5670217871665955,-32.060543060302734,2000,0.0003,0.234781,-6.583083152770996,500.0,,,,,
2399,0.4530056416988373,0.48874399065971375,-35.9201545715332,2500,0.0003,0.3109604,-8.172035217285156,500.0,,,,,
2899,0.338035523891449,0.42129838466644287,-39.25520324707031,3000,0.0003,0.24788639999999998,-9.907516479492188,500.0,,,,,
,,,,3000,,,,,312.125,206,14,8,0.482617875
3399,0.5199849605560303,0.3633745312690735,-40.5623779296875,3500,0.0003,0.1489116,-11.312898635864258,500.0,,,,,
3899,0.3681802749633789,0.31356436014175415,-43.45738983154297,4000,0.0003,0.729198,-12.83765983581543,500.0,,,,,
4399,0.38981956243515015,0.2708863615989685,-44.46678924560547,4500,0.0003,0.13030360000000002,-14.118549346923828,500.0,,,,,
4899,1.5338126420974731,0.23444734513759613,-47.04245376586914,5000,0.0003,0.1047814,-14.94306755065918,500.0,,,,,
,,,,5000,,,,,374.75,337,14,12,0.42624158333333323
5399,0.37789204716682434,0.2031894326210022,-47.577178955078125,5500,0.0003,0.0396248,-16.743324279785156,449.0,,,,,
5899,0.455522745847702,0.17637836933135986,-48.82948303222656,6000,0.0003,0.21097460000000004,-17.028722763061523,500.0,,,,,
6399,0.6827270984649658,0.15317314863204956,-50.21946716308594,6500,0.0003,0.19254699999999997,-18.069778442382812,500.0,,,,,
6899,0.4805956482887268,0.1331268548965454,-49.74106216430664,7000,0.0003,0.5020960000000001,-18.443246841430664,495.8,,,,,
,,,,7000,,,,,385.25,466,15,16,0.380529125
7399,0.7149979472160339,0.11600080132484436,-50.81025695800781,7500,0.0003,-0.022895200000000004,-17.92005157470703,472.6,,,,,
7899,0.527308464050293,0.10140670090913773,-50.594879150390625,8000,0.0003,0.356024,-17.435749053955078,439.0,,,,,
8399,0.5445815920829773,0.08905136585235596,-51.443565368652344,8500,0.0003,0.1300326,-16.07025146484375,500.0,,,,,
8899,5.345086097717285,0.07854001224040985,-51.522186279296875,9000,0.0003,0.0923592,-17.212587356567383,500.0,,,,,
,,,,9000,,,,,408.2,593,15,20,0.45355015000000004
9399,0.6365341544151306,0.06937803328037262,-51.16724395751953,9500,0.0003,0.1279868,-16.764976501464844,500.0,,,,,
9899,4.522927284240723,0.06160810962319374,-51.591163635253906,10000,0.0003,0.22488799999999998,-13.424957275390625,500.0,,,,,
10399,0.5537285804748535,0.054948437958955765,-51.83648681640625,10500,0.0003,0.071455,-14.619280815124512,500.0,,,,,
10899,0.6533107757568359,0.04956655949354172,-51.558815002441406,11000,0.0003,0.5339037999999999,-10.955953598022461,500.0,,,,,
,,,,11000,,,,,423.5,724,15,24,0.4255935833333333
11399,0.901576817035675,0.04521574452519417,-52.900733947753906,11500,0.0003,0.0908954,-6.539857387542725,342.6,,,,,
11899,1.0716211795806885,0.04175041615962982,-52.0750846862793,12000,0.0003,0.0925154,-4.3803791999816895,500.0,,,,,
12399,0.965815544128418,0.038748860359191895,-52.85791015625,12500,0.0003,0.0025046000000000014,-6.419970512390137,422.8,,,,,
12899,1.0951521396636963,0.0363457053899765,-54.05953598022461,13000,0.0003,0.15450599999999998,-3.0918197631835938,500.0,,,,,
,,,,13000,,,,,421.85714285714283,847,15,28,0.47730928571428566
13399,1.1552878618240356,0.03488221392035484,-53.73175811767578,13500,0.0003,0.2720832,-1.7559255361557007,500.0,,,,,
13899,4.439062595367432,0.033616457134485245,-55.04130935668945,14000,0.0003,-0.0402748,-1.2084077596664429,423.8,,,,,
14399,3.7183732986450195,0.03245685622096062,-54.405059814453125,14500,0.0003,0.0407608,-1.3144794702529907,500.0,,,,,
14899,0.8268729448318481,0.03256308287382126,-53.991939544677734,15000,0.0003,0.091028,2.7102437019348145,500.0,,,,,
,,,,15000,,,,,418.625,973,15,32,0.4357443125
15399,2.9253756999969482,0.03325389698147774,-54.52867126464844,15500,0.0003,0.059600799999999995,-3.002105474472046,500.0,,,,,
15899,1.1064895391464233,0.03343912586569786,-55.211509704589844,16000,0.0003,0.32695019999999997,0.7629846334457397,500.0,,,,,
