time/total_timesteps,train/n_updates,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/actor_loss,train/critic_loss,eval/mean_ep_length,eval/mean_reward,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps
500,399,-1.4059972763061523,0.8873863816261292,0.0003,-13.608977317810059,0.07498657703399658,500.0,4.3869472,,,,,
1000,899,-3.175438404083252,0.7637690901756287,0.0003,-20.292282104492188,0.5692532658576965,500.0,3.1430656,,,,,
1500,1399,-4.894942283630371,0.6575214266777039,0.0003,-26.274492263793945,0.11456437408924103,500.0,2.5050338,,,,,
2000,1899,-6.692419052124023,0.566261887550354,0.0003,-32.865909576416016,0.8637495636940002,500.0,2.4907786,,,,,
2000,,,,,,,,,4.97833375,181,4,500.0,11
2500,2399,-8.381223678588867,0.4878022372722626,0.0003,-36.61022186279297,2.5545730590820312,500.0,2.3407139999999997,,,,,
3000,2899,-9.915592193603516,0.42045819759368896,0.0003,-39.61365509033203,0.27167001366615295,500.0,2.3979132,,,,,
3500,3399,-11.550846099853516,0.3625624477863312,0.0003,-42.809547424316406,3.7747998237609863,500.0,2.5129478,,,,,
4000,3899,-13.058816909790039,0.31278857588768005,0.0003,-44.46138000488281,0.35860174894332886,500.0,2.3650254000000004,,,,,
4000,,,,,,,,,7.442907999999999,359,8,500.0,11
4500,4399,-14.436653137207031,0.27010372281074524,0.0003,-45.37773895263672,0.5179866552352905,500.0,2.1993926,,,,,
5000,4899,-15.492803573608398,0.23354250192642212,0.0003,-46.249473571777344,0.46892616152763367,500.0,2.1566912,,,,,
5500,5399,-16.589763641357422,0.2021821141242981,0.0003,-47.67961883544922,3.980719804763794,500.0,3.1230096000000005,,,,,
6000,5899,-16.821250915527344,0.17543143033981323,0.0003,-47.73432159423828,0.6996456980705261,500.0,6.8083176,,,,,
6000,,,,,,,,,6.37486325,538,12,500.0,11
6500,6399,-17.49129867553711,0.15267165005207062,0.0003,-47.32852554321289,1.0671006441116333,500.0,2.6765724,,,,,
7000,6899,-17.454870223999023,0.13340146839618683,0.0003,-47.814674377441406,6.797008514404297,500.0,4.0972368,,,,,
7500,7399,-17.496017456054688,0.11670122295618057,0.0003,-47.082054138183594,0.6055481433868408,500.0,4.7389256,,,,,
8000,7899,-17.33348274230957,0.10237382352352142,0.0003,-46.784576416015625,0.6080063581466675,500.0,6.4452482,,,,,
8000,,,,,,,,,5.685910875,721,16,500.0,11
8500,8399,-17.08248519897461,0.08987686038017273,0.0003,-47.561004638671875,0.655495285987854,500.0,2.1769778,,,,,
9000,8899,-16.382553100585938,0.07912089675664902,0.0003,-47.95796203613281,0.7496012449264526,500.0,8.457312199999999,,,,,
9500,9399,-14.042623519897461,0.06987469643354416,0.0003,-46.42384719848633,0.9501665830612183,500.0,3.6765144,,,,,
10000,9899,-14.087233543395996,0.06188288331031799,0.0003,-45.627655029296875,0.6460161209106445,500.0,4.092011,,,,,
10000,,,,,,,,,5.672682400000001,904,20,500.0,11
10500,10399,-13.298072814941406,0.05475815385580063,0.0003,-47.13970947265625,0.6105973720550537,500.0,3.8614368,,,,,
11000,10899,-12.055976867675781,0.04853271692991257,0.0003,-46.691043853759766,0.4530659019947052,500.0,4.609673,,,,,
11500,11399,-12.728409767150879,0.043449461460113525,0.0003,-45.19427490234375,0.5200693607330322,500.0,4.6491983999999995,,,,,
12000,11899,-8.020563125610352,0.0394890196621418,0.0003,-44.59770202636719,0.8011999130249023,500.0,2.7591612000000003,,,,,
12000,,,,,,,,,5.373896916666666,1089,24,500.0,11
12500,12399,-7.762448310852051,0.03611287102103233,0.0003,-46.33128356933594,0.6421037912368774,500.0,3.3371626,,,,,
13000,12899,-3.0904951095581055,0.03325183689594269,0.0003,-45.00083923339844,0.9006326794624329,500.0,1.8624946000000002,,,,,
13500,13399,-2.8473379611968994,0.030987633392214775,0.0003,-45.430084228515625,5.971562385559082,500.0,4.776914,,,,,
14000,13899,-1.6166943311691284,0.02937358058989048,0.0003,-45.71906280517578,6.119251251220703,500.0,8.136185399999999,,,,,
14000,,,,,,,,,5.165076749999999,1273,28,500.0,10
14500,14399,-0.7184433937072754,0.02854263409972191,0.0003,-45.782981872558594,0.8110408782958984,500.0,4.4149142,,,,,
15000,14899,0.7011886835098267,0.02811877802014351,0.0003,-45.85102462768555,0.6886211037635803,500.0,4.622698,,,,,
15500,15399,-0.374703049659729,0.027722682803869247,0.0003,-47.4775390625,1.0174524784088135,500.0,4.4435814,,,,,
16000,15899,0.6844909191131592,0.0272239837795496,0.0003,-46.856407165527344,0.6585295796394348,500.0,2.4580928,,,,,
16000,,,,,,,,,5.9139225625,1460,32,500.0,10
16500,16399,-1.0752710103988647,0.02694602496922016,0.0003,-46.93975830078125,0.5168156623840332,500.0,2.6398410000000005,,,,,
17000,16899,2.005887508392334,0.02667979709804058,0.0003,-46.498008728027344,1.3715298175811768,500.0,3.4650456,,,,,
17500,17399,0.36760058999061584,0.026580313220620155,0.0003,-46.46315002441406,1.0539933443069458,500.0,12.176301400000002,,,,,
18000,17899,0.9390151500701904,0.02651018276810646,0.0003,-45.956321716308594,1.806075930595398,500.0,7.713908399999999,,,,,
18000,,,,,,,,,5.583927555555555,1645,36,500.0,10
18500,18399,-1.898803472518921,0.025532307103276253,0.0003,-46.03914260864258,0.682856023311615,500.0,3.6286378,,,,,
19000,18899,-1.3120588064193726,0.02522488683462143,0.0003,-45.36455535888672,0.8000996708869934,500.0,4.5624076,,,,,
19500,19399,0.322428822517395,0.02466961368918419,0.0003,-45.74256134033203,0.6498587131500244,500.0,3.482202,,,,,
20000,19899,-0.5990400314331055,0.02429446205496788,0.0003,-45.406898498535156,0.7017056941986084,500.0,1.9001649999999999,,,,,
20000,,,,,,,,,5.33087445,1827,40,500.0,10
20500,20399,-2.7141714096069336,0.02470315806567669,0.0003,-46.263031005859375,0.7062005400657654,500.0,6.6907026,,,,,
21000,20899,1.1488709449768066,0.02459307201206684,0.0003,-45.30131912231445,0.6924160122871399,500.0,5.0425702,,,,,
21500,21399,-1.155900001525879,0.024092862382531166,0.0003,-46.89366149902344,0.8355576395988464,500.0,2.0397824,,,,,
22000,21899,1.9202901124954224,0.02377801388502121,0.0003,-46.22767639160156,0.5982543230056763,500.0,2.2046482000000003,,,,,
22000,,,,,,,,,5.355952795454545,2013,44,500.0,10
22500,22399,-2.26686429977417,0.023119131103157997,0.0003,-44.8419075012207,0.7037591338157654,500.0,2.9234934000000004,,,,,
23000,22899,0.47713613510131836,0.02292279712855816,0.0003,-46.23841094970703,2.5733375549316406,500.0,3.8407600000000004,,,,,
23500,23399,0.8391362428665161,0.022740935906767845,0.0003,-45.60751724243164,0.7338547706604004,500.0,2.21436,,,,,
24000,23899,-1.2448619604110718,0.02295350655913353,0.0003,-47.556907653808594,0.6381340026855469,500.0,6.9140276,,,,,
24000,,,,,,,,,5.304348520833333,2195,48,500.0,10
24500,24399,1.527255892753601,0.022748913615942,0.0003,-46.52094650268555,0.7479987144470215,500.0,4.3806172000000005,,,,,
25000,24899,0.2960474193096161,0.022952433675527573,0.0003,-45.2274169921875,4.441836357116699,500.0,2.0465566,,,,,
25500,25399,-0.9908108115196228,0.02259080857038498,0.0003,-44.70941925048828,0.5815485119819641,500.0,2.393295,,,,,
26000,25899,0.4703068137168884,0.02181139774620533,0.0003,-45.484283447265625,2.501185894012451,500.0,2.0682716,,,,,
26000,,,,,,,,,5.058881615384617,2376,52,500.0,10
26500,26399,0.32045307755470276,0.021564392372965813,0.0003,-43.65361785888672,1.1248688697814941,500.0,2.1132526,,,,,
27000,26899,-0.6063762903213501,0.02188532054424286,0.0003,-43.55945587158203,0.5694440007209778,500.0,2.0843164,,,,,
27500,27399,0.4214661121368408,0.021773556247353554,0.0003,-43.46440505981445,0.5374844670295715,500.0,2.0856208,,,,,
28000,27899,-0.23482564091682434,0.021817805245518684,0.0003,-43.48268127441406,1.3107082843780518,500.0,2.1315017999999997,,,,,
28000,,,,,,,,,4.875762267857143,2558,56,500.0,10
28500,28399,0.6230051517486572,0.021376455202698708,0.0003,-43.79357147216797,1.6201529502868652,500.0,3.3259268,,,,,
29000,28899,1.3225505352020264,0.021839167922735214,0.0003,-43.806251525878906,1.7934945821762085,500.0,2.2740616,,,,,
29500,29399,-0.6689358353614807,0.021505489945411682,0.0003,-43.04313659667969,4.217730522155762,500.0,2.1275222,,,,,
30000,29899,-0.33473092317581177,0.02142678014934063,0.0003,-40.71160888671875,1.0417563915252686,500.0,4.463295,,,,,
30000,,,,,,,,,4.695120083333333,2740,60,500.0,10
30500,30399,1.3863626718521118,0.0217741746455431,0.0003,-42.364768981933594,0.9319548606872559,500.0,1.9847666,,,,,
31000,30899,-0.9951257705688477,0.02164308913052082,0.0003,-43.56747055053711,2.6872801780700684,500.0,3.572488,,,,,
31500,31399,-1.2016146183013916,0.021409092471003532,0.0003,-42.70335388183594,4.272042274475098,500.0,3.4313206000000003,,,,,
32000,31899,0.7737144231796265,0.021215394139289856,0.0003,-41.885860443115234,3.7310729026794434,500.0,5.279909,,,,,
32000,,,,,,,,,4.657547390625,2925,64,500.0,10
32500,32399,-0.9869420528411865,0.020369047299027443,0.0003,-41.866580963134766,0.8119255900382996,500.0,3.1019601999999997,,,,,
33000,32899,-0.8181613683700562,0.019843047484755516,0.0003,-41.242122650146484,0.6875572204589844,500.0,6.490523400000001,,,,,
33500,33399,-0.6910921931266785,0.019123157486319542,0.0003,-40.29942321777344,0.5715930461883545,500.0,7.511807,,,,,
34000,33899,2.0229341983795166,0.018510766327381134,0.0003,-41.0490608215332,0.5051188468933105,500.0,7.220149600000001,,,,,
34000,,,,,,,,,4.941028794117647,3112,68,500.0,10
34500,34399,-0.7037174701690674,0.018374497070908546,0.0003,-39.84102249145508,0.5598282814025879,500.0,8.0513218,,,,,
35000,34899,-0.12089376151561737,0.01806936226785183,0.0003,-40.542442321777344,0.5768307447433472,500.0,4.0557356,,,,,
35500,35399,1.8649154901504517,0.01753905974328518,0.0003,-39.676483154296875,0.5632615089416504,500.0,1.5820560000000001,,,,,
36000,35899,-2.0008437633514404,0.017481237649917603,0.0003,-40.96140670776367,1.3565278053283691,500.0,2.5511548,,,,,
36000,,,,,,,,,5.2358857500000004,3298,72,500.0,10
36500,36399,0.5452467799186707,0.017481138929724693,0.0003,-38.99298095703125,5.331930160522461,500.0,10.5335626,,,,,
37000,36899,0.4792900085449219,0.017353149130940437,0.0003,-39.80712127685547,0.8601391315460205,500.0,3.8930119999999997,,,,,
37500,37399,0.33542826771736145,0.0170943234115839,0.0003,-39.692115783691406,5.112557411193848,500.0,9.3983384,,,,,
38000,37899,2.9884300231933594,0.01709081046283245,0.0003,-38.889251708984375,0.6989796757698059,500.0,2.0259206,,,,,
38000,,,,,,,,,5.538279565789474,3483,76,500.0,10
38500,38399,-0.05017508566379547,0.017356161028146744,0.0003,-38.23982238769531,1.2153241634368896,500.0,2.6036968,,,,,
39000,38899,1.7224650382995605,0.017284540459513664,0.0003,-39.26813507080078,0.5829835534095764,500.0,2.320107,,,,,
39500,39399,0.9070550203323364,0.016999244689941406,0.0003,-38.86653518676758,0.7015341520309448,500.0,2.5251642,,,,,
40000,39899,-0.9762367606163025,0.017273250967264175,0.0003,-38.29913330078125,0.6487098932266235,500.0,1.8354488,,,,,
40000,,,,,,,,,5.5184836625,3670,80,500.0,10
40500,40399,0.6885370016098022,0.016817372292280197,0.0003,-37.45149230957031,0.9550614953041077,500.0,2.166944,,,,,
41000,40899,0.5599035024642944,0.016585849225521088,0.0003,-37.47108840942383,2.554083824157715,500.0,1.9955712,,,,,
41500,41399,-1.931674838066101,0.016573000699281693,0.0003,-37.38959503173828,0.4432344138622284,500.0,1.8872415999999999,,,,,
42000,41899,1.2169907093048096,0.01624470204114914,0.0003,-36.13340377807617,0.4824841022491455,500.0,5.710702,,,,,
42000,,,,,,,,,5.486907690476191,3854,84,500.0,10
42500,42399,-1.7639071941375732,0.015954356640577316,0.0003,-35.884613037109375,0.590057909488678,500.0,10.4400434,,,,,
43000,42899,0.8092255592346191,0.015565590932965279,0.0003,-36.031524658203125,0.7821605205535889,500.0,2.370781,,,,,
43500,43399,-1.3036494255065918,0.015863589942455292,0.0003,-35.75554656982422,1.845444917678833,500.0,2.9156568,,,,,
44000,43899,0.905536413192749,0.015521609224379063,0.0003,-35.129249572753906,0.5243852734565735,500.0,2.1509134000000003,,,,,
44000,,,,,,,,,5.609357443181818,4043,88,500.0,10
