time/total_timesteps,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean
500,500.0,399,-1.4090193510055542,0.0003,-13.649836540222168,5.927868800000001,0.8874101042747498,0.06907632946968079,,,,,
1000,500.0,899,-3.1739025115966797,0.0003,-19.4370059967041,1.0756866,0.7638022303581238,0.6782397031784058,,,,,
1500,500.0,1399,-4.940325736999512,0.0003,-25.854232788085938,1.5404208000000001,0.6575435996055603,0.12539920210838318,,,,,
2000,500.0,1899,-6.6685566902160645,0.0003,-30.68520736694336,0.38174899999999995,0.566270649433136,1.749559760093689,,,,,
2000,,,,,,,,,7.46372325,4,11,178,500.0
2500,500.0,2399,-8.366033554077148,0.0003,-34.833290100097656,2.0457284000000002,0.4878601133823395,2.5773816108703613,,,,,
3000,500.0,2899,-9.998945236206055,0.0003,-38.175331115722656,0.8325925999999999,0.42047765851020813,0.33694761991500854,,,,,
3500,500.0,3399,-11.545207977294922,0.0003,-40.98186492919922,0.3147706,0.36265698075294495,0.6886689066886902,,,,,
4000,500.0,3899,-13.057405471801758,0.0003,-42.498992919921875,1.1092218,0.31301841139793396,0.38777512311935425,,,,,
4000,,,,,,,,,4.384291625,8,11,354,500.0
4500,500.0,4399,-14.214599609375,0.0003,-43.53456115722656,0.1814096,0.2704567015171051,0.49568670988082886,,,,,
5000,500.0,4899,-15.352670669555664,0.0003,-45.216705322265625,0.46853,0.2340613156557083,1.1600356101989746,,,,,
5500,500.0,5399,-16.595123291015625,0.0003,-46.27063751220703,0.6450332,0.20263244211673737,0.41483938694000244,,,,,
6000,500.0,5899,-16.946989059448242,0.0003,-46.8111457824707,2.1897260000000003,0.17597268521785736,0.40973126888275146,,,,,
6000,,,,,,,,,3.0449493333333333,12,11,529,500.0
6500,500.0,6399,-16.80342674255371,0.0003,-46.72119903564453,2.4834104,0.15306366980075836,1.0844571590423584,,,,,
